doc_text_processed;image2text_processed;speech2text_processed
остерегаться этот флирт машина улица;on ai встретиться парень;встретиться парень это называться оттопырить ухо лопаух лопаухи заобщаться узнать друг друг скинуть картинка это картошка история игрушка понять написать быть ребенок
формат общение зритель импровизация соболев;бункер часть к лидер;представить наступить конец свет бункер глубокий мы нужный выбрать пять человек который выжить быть определять попасть туда профессия мочь рожать физиологически весь подходить мы кто хотеть родить заниматься предприниматель ты нужный спа лидер найти ка встань смотреть оденется бляд лидер че нем видеть пиджачок рубашка ка сказать вперед вперед оно сказать твой парень сказать быть работать сказать хуй нужный лидер
сколько обходиться содержание юмор шутка;сколько обойтись содержание lublu lublu;сколько обойтись содержание сколько обойтись содержание уходовой косметика месяц выходить тысяча рубль уходовой косметика шампунь плюс гель душ машина посуда рубль ноготь ресница выходить тысяча рубль месяц ноготь выходить рубль жизнь ресница бесплатно сумка смотря бренд тысяча рубль сумка смотря бренд нуль нуль рубль месяц спонтанный покупка спонтанный покупка рубль зима квит тысяча месяц обязательный приятный пиво тысяча месяц обязательный приятный содержание мужчина обойтись рубль содержание выйти плюс минус нихуй выбор очевидный
кусочек лайв;р r е м е;это день рождение скоро пройти что подарить муж магнитола машина магнитола машина ебать такой еще бывать магнитола дед спиздить
отмечать такой друг;почему пойти кок мероприятие;праздновать
главный хайлайт заруб волков павлович символ бой павлович лицо истекать кровь волков shhhnyakin;ма g;говориться злобно гуратино вновь расческа появляться превыше ранний такой александр волшебный расческа
назвать свой топ важный профессия комментарий импровизация соболев;бункер часть дегустаторка водыг;представить наступить конец свет булкир глубокий мы нужный выбрать пять человек который выжзать быть определять попасть туда профессия инженер инженер делать конкретно мочь инженер пойти инженер компромисс идти хуй девушка делать конкретно мочь мы ручка помогать мочь вода проверить вода проверить чистый загнать человек пять человек умереть вообще весь это зал говорить давать помогать мочь секундочку
однажды россия понедельник тнт;ш ч твой хороший друг каждый выходной;прямой сентябрь сказать удобнее позвонить апрель знать очень удобный сам дело давать наверное позвонить ноябрь ноябрь выходной удобный время час вечер наверное звонить
лям туда лям сюда;х патрик это патриарший пруд;атрика это патриарший пруд это булгаковский москва это это сколько зарабатывать бля кавказ давно придумать схема тип брать тачка похана сколько зарабатываешь тема тема бля тема лям туда лям сюда че лям туда лям сюда нихуя лям туда лям сюда итог ноль получить крутой тип такой бабка лям туда лям сюда итог лям должный
сеть завируситься ролик который десяток год точно фрагмент передача бульдог шоу скетч учитель английский выложу полный версия тот видеть;бульдог шоу утверждать пту английский язык несовместимый;ток шоу утверждать пту английский язык несовместимый хеллоу литл трактор эм робот ю ар окать геннадий алиса ми абаут эйвер петр иванович готовый собака умереть юра хорс ху кобакс тудея виктор иванович кобакс смотреть еда иванов отсутствовать сегодня чикаго молл м ма ма ма ма матерый снять кол оф дьйютя кола оф дьйютя люфтваффа фор робот
саша муратов платежеспособность мужчина женский стендап суббота тнт;l здов сейчасещ отовсюду говорить;отовсюду говорить осознанный весь отношение число считаться прежде искать второй человек решить какой тот качество он важный начинать искать знакомый говорить решить нужный богатый муж первый свидание заказывать сразу самый дорогой проверять мужик платежеспособность говорить окей второй делать говорить знать многий мужчина считать женщина корыстный женщина честно похлопать важный ваш мужчина зарабатывать бодрый аплодисменты важный считать это корысть называть это забота заботливый смотреть мужчина объяснять мы важный зарабатывать мы разведетесь быть платить алименты сам оставаться переживать
саша муратов мужской проблема женский стендап суббота тнт;th видео попасться part cur;четыре видео попасться значить ситуация такой женщина имитировать действие мужчина время секс сверху видеть такой видеть визуализируйте женщина имитировать действие мужчина сверху рядом стоить муж секундомер засекать долго продержаться долгий минута никто попробовать реально тяжело серьезно это знать планка движение просто планка мочь сорок секунда планка движение скорострел это видео куча комментарий мужчина наш проблема увидеть услышать женщина видите пятнадцать минута это нереальный сразу сложно бедный мужчина работа устать приходите упахиваете короткий мужчина женщина посовещаться договориться решить завтрашний день никто давать
;васбыть;это обсуждать невкусный обсудить мало еда рыба икра бывать дождаться очень шикарный свадьба говорить лезть знать слушать вообще вкусно такой гость прийти посидеть уходить сами сесть чай попить типа гость уйти сам чай попить сегодня попить этот посидеть самый хороший это время косили вообще стол вести это самый ужасный гость пиздануть хулиган пусть ребенок дома остаться уезжать говорить смысл остаться
войти постельный белье иринамягков войти мягковаирин женский стендап сильный независимый;вообще заметить;вообще заметить одинокий мужик проблема постельный видеть оно ублюдской поход мать себя дорога дать ха ха ха десять год назад спать реально чудо весь один комплект ха ха ха ха ха ха обычно простыня красный мак наволочка паровозик пододеяльник плед пододеяльник презерватив тот ощущение блин недостаточно колоться
начинать утро чашечка таджикский кофе импровизация соболев таджикистан;родственница равшан й джампут;национальность король кенис сараушан джамсудно ооо джамсик еееий красотка молодец кстати вопрос посмотреть кладка просто знать клуб чистый кровь говорить подсказать рука матемана сделать матемана весь извинить это нормально занимать наш город ваш ты снежку это весь ваш знать чей пить кофе бразильский таджикский делать питер приехать чисто ради серьезно приехать выступление чисто ради выступление оооо благодарить получаться стройка стоить ребята работать короткий работать
давать честно комментировать сторис коммент жизнь;смотреть сторис рядом никто;танцевать один танцор вокруг ой похер мы мужик ой поебать камера отдыхать телефон рука брать это кто это ой это выставлять купальник это лайкать научись фоткать понять человек поздравлять день рождение запись репостить тип селеб человек выставлять просто какой ерунда сфоткать есть
такой примета ждать новость саша надя принять роза музыка музтв новостизвезда шоубизнес жиза премия;ремис муза твой родственник любой возможность;мочь остаться мочь остаться вопрос вопрос один мужчина дарить ты подарить деньга подарить оплодотвориться это очень здорово
весь уважение взрослый мужчина;преисполниться li;суета казаться вечно смотреть огонь вода взрослый мужчина борода кафе есть суп суп стекать борода обратно тарелка залипнуть это лава лампа хотеть мой психолог стол стоять маленький мужик подруга такой встречаться говорить предохраняться говорить врач сказать сперматозоид угнести который такой пойти темный казаться знать человек который рождаться таки угнетенный сперматозоид питер экскурсия водить
какой животное уговорить ваш ребенок;мама мочь выбрать любой питомец который захотеть;мочь выбрать любой питомец который захотеть шепчу дурак шепчу ваня вообще никто спрашивать
кто знакомый ka;тренер давать очередной упражнение единственный мысль голова;сегодня хотеться полежать
это рассказывать свой путешествие писать новый серия книга регина путешесивенница взрослый;иэто весь год;это весь год естественно девочка естественно каждый случаться написать легкий порядочный мужик женатый который непорядочный никто нужный годиться прошлый навык знать делать устать проситься рука уходить уходить весь расстаемся уходить другой видеть точка ставить точка точка весь точка точка вон какой помогать ваш точка говори ага говорить слушать умереть гроб понести говорить обязательно мой цветок мой цветок уйти прямо гроб гроб встреча курорт один мужчина это это угар лазить он окно сидеть ждать окошко открыть мужик писька стоять сомневаться сомневаться это случай уйти мой умереть любовник умереть умереть
отмечать бестис;подруга минута отвечать ты сообщение;привет отвечать ты писать писать классно выглядишь
простой поить че попеть;on;ты арара тобою арарат армения знать мама мама уходить армения ждать блин спасибо ты армения мама армения ждать
перебить девчонка новый выпуск vk;эксклюзивно v видео самый дорогой маникюр;короткий рассказывать значить приехать некогда москва делать сходить ноготь подруга владивосток говорить настя прилететь владивосток мочь пожалуйста маникюр педикюр записать тип успевать говорить семь утро записывать значить единственный вариант студия ходить иметь ввиду дорого такой сколько дорогой тип тысяча десять наверное отдать блин восемь знать приезжать семь утро принимать руководительница студия руководительница руководительница который класс село сделать болтать ля ля ля ля ля ля ля конец говорить сколько крем подарить говорить сколько деньга говорить нужный скидка два тысяча получаться восемнадцать тысяча просто зал умереть шок говорить знать отреагировать сказать блять восемнадцать двадцать тысяча че сука навсегда сделать восемнадцать тысяча
мой молодость;хотеть;хотеть поделиться воспоминание начало карьера мочь коротко рассказать нижний новгород выступать привозить звезда москва выступать разогрев пять минута сорок приехать виктор комаров выступить комик комар говорить опаздывать один мероприятие поэтому прямо выходить сцена комик пять минута выходить виктор комаров сорок минута разъебывать выходить пять минута выступать показывай сцена сходить идти сцена человек гардероб идти говорить комик начинать выступать минута просто тишина зал женщина зал кричать это смешной блядь это охлаждать комик нормально вообще собака выступить разъехаться
жизый репост реакция приветствоваться ka;вокруг худеть лет момент;вчера шикарный манта хотеться знать сегодня прыгать остановиться пять штучка
кристина ганин kristinaganina определенный навык женский стендап суббота тнт;tht not fick just кно w мат wa вообще удивлять;вообще удивлять укрыть знать такой женщина пустой место начать обсуждать я какой тонкий тема рассказывать реальный история значит сидеть стол едим персик говорить кристина смотри есть персик нигде капать кристина определенный навык сидеть есть персик капать прям хлестать говорить спасибо большой совет нина евгениевич мочь свой сын подобный объяснить бедный сидеть угол палец дыня ковырять знать какой навык пропустить
ирония судьба расул chabdarrr ирония ваш жизнь artemvinokur;прон cuided m;легко девочка прикинуть сидеть говорить хотеть покататься машина хуй смысл кадиллак ты приехать расул вселенная услышать такси устроить
почему отец невеста плакать это слеза радость иванабрамов стендап моидевочка психоанализ отецневеста свадьба слезырадость;почему отец;почему отец невеста свадеб горюет плакать любой тост отец жених прикалывается веселиться танцпол это сразу показывать сын дочка сделать сегодня это ужасный праздник плюс красивый воспитанный человек фамилия знать горе весь слышать другой свадеб сепарироваться свой девочка это проблема мама мальчик отец девочка знать смотреть она видеть взрослый женщина который сделать свой крутой выбор благодаря воспитание который мать заложить прекрасный муж видеть понимаете тот самый пятилетний девочка весь вокруг казаться пошлый вокруг скандировать горяк горяк слышаться засунь язык дожд ребенок побольше ребенок язык
чифирьнуть денис честно чай щербаков соболев кукояка;тип чифирь знать;тип чайфира знать выпить выпить тошнить сразу очень крепкий брать это дедушка царство небесный детство ездить рыбалка заваривать термос очень крепкий чай яйцо голый сидеть заканчиваться яйцо пол термос пожалуйста денис пожалуйста открывать рот выбирать ты люба
ссориться стендап стендап стендап тнт шутка романкосицын comedy;tht будапешт жестко поссориться жена r;слушать будапешт жестко поссориться жена знать странный момент поссориться пара тип поссориться театр двойной лицемерие делать вид поссориться делать вид замечать поссориться хотя видно поссориться время ужин стол сидеть сидеть слева другой стол сидеть каждый уходить ты спина еще бросать пойти взять вино такой вина это должный чувствовать аплодисменты
девочка юмор смешно вайн идагалич;подруга отвечать комментарий;написать написать написать кэп слог первый такой второй такой нелицеприятный писаться нелицеприятный написать просто давать просто свой смайлик отправить очень злой смайлик
писать коммент сколько стоить ваш свадьба свадьба щербаков соболев кукояка;ук свадьба шатер;тысяча праздновать свадеб шатрий клево веселиться очень шатер цирк весь ветило сесть номер считать сколько мы деньга подарить сколько мы подарить подарить мой маленький вложить тысяча получить тысяча мы подарить вложить отбивать никтожа первый брачный ночь трахаться отморозить наверное равный считать деньга посчитать заняться секс есть бургер такой посчитать деньга купить бургер такой ладно блядь наесться давать потрахать
карина мейханаджян karinaaa флирт армянин женский стендап суббота тнт;честно обожать;честно обожать свой родственник целое любить армянин классный реально потрясать человек спасибо реально сам хотеть похлопать объяснить почему многий нравиться армянин перманентно флирт это очень сильно поднимать самооценка недавно такой грустный обжигалась недавно такси попасть авария водитель земляк смочь сказать первый сказать простите просто отвлечься ваш глаз это пять звезда смотреть думать хотеть езжать камаз умереть день кайфуй реально армянин перманентно флирт жизнь дед умирать последний флиртовать медсестра ездить навещать рука показывать типа езжайте мыть намазь
смотреть полный версия женский стендап е тнт стендап стендап тнт стендап шоу стендап камедь стендап комик стендап комедия стендап москва стендап натнт стендап видео женский стендап женский стендап натнт ск стендап клубномер разгон чувс аранов;эт;недавно ситуация оказаться короче самолет пилот случайно забыть выключить рация прям рация сказать сегодня ужинать быть весь самолет перепугаться видеть паника сидеть такой ася быть ужинать быть происходить вообще понять выключить рация заржать выключить рация человек весь полет лететь ощущение везти неквалифицирный пилот честно проще стать хотя увидеть штурвал бодрый человек гораздо пугать вялый пилот который включать рация такой победа
светка здоровый подружка вднх прийти оттопыриться увидеть vk портал упасть восторг представлять это огромный телик связь другой город россия помощь который мочь созвониться родный близкие просто приятный незнакомец шок короче собирать манатки приезжать москва быть вместе оттопыриваться портал vk;t;светка здорово подружка передавать ты привет вднх прикинуть сегодня праздник проходить сколько народ прийти вообще шок прийти мороженое поесть повеселиться вк вон придумать вк портал прикинь это человек другой город плясать смотреть это телек большой кто видеть знакомый увидеть вон маша наверное семья филипповых семья филиппов привет выступать следующий знать песня ночь ля ля девчонка давать светка короткий давать сидеть кислить свой деревня сидеть кислить
female стендап стендап саул юсупов съем квартира женский стендап суббота тнт;объявление запретить писать;объявление писать даваться славянин приятный классно человек который сдавать славянин запретить реально найти такой объявление написать значить сдать квартира порядочной семейный пара брат просмотр позвонить хозяйка небольшой предпочтение прям маленький прям ваш глаз это очень сильно выбесить правда принцип позвонить этот объявление трубка взять приятный женщина пойти сразу козырь говорить здравствовать звать саулия супов выступать женский стендап е тнт животное ребенок муж сам убирать женщина говорить саулия здравствовать видеть приятный познакомиться нравиться ирина мягков трубка положить
встречать такой постоянно спорт тренировка бизнес зал смешноевидео юмор;самый очень деловой человек зал;ага ага друг друг ага ага упасть давать паша это позанимался отлично
любовь собака ч стендап стендап стендап тнт шутка романкосицын comedy;м излишне опекать городской собака;городской собака знаете деревня собака делать человек месяц уезжать знать делать собака сцепи снимать весь возвращаться собака сидеть довольный весь это время идти вечеринка стиль мальчичник вегас она бухать трахаться охотиться китайский мафия такой вечеринка связать панин лежать сарай
пятница тнт;comedy;мой мама папа это девушка лиза пирог грыш рукожопа пирог пятница готовый кое признаться мульти миллиардер сынок жизнь жить разваливаться дом отвратительный район понимаешь прийтись купить весь район ранний стоять многоэтажка снести чертовый хрущевка это вырасти нормальный человек задумываться почему район называться алексеевский алексей камедь клаб хороший номер харламов батрутдинов пятница девять вечер татарин прочий уметь дружить татарин уметь дружить ладно сказать монгол тнт
острый кинжал козырек;х знать какой тип дагестан видеть;знать дагестан кто видеть приехать концерт туда сюда лето блядь июль короче июль жара тормозить братск полететь жара июль блядь прям представлять выходить стоить тип короче пальто костюм тройка кепка выходить пацан пацан местный говорить ас саламу алейкум томас шелби блядь говорить знать говорить валейкум ас сало короткий сериал посмотреть сериал посмотреть начать ходить короткий это смешной
бояться предположить;фак являться заслужить артист республика башкортостан частый становиться причина развод;опа предположу конец конец знать суша суша
психологичнский заметка;th ругаться настоящий нарцисс;слушать слушать голос неприятный
быть рад ваш поддержка соцсеть репостнит сториз;какой tikon;какой ребенок хуй дибров разбираться психолог обычно ухо говорить первый несгораемый сумма поздравлять пойти трахнуть падчерица пока
собакозависимый друг;отель нт собака;смотрите против собака против собакозависимый человек сзади человек который собака купить куртка сын этот такой друг который невозможный никуда вырвать говорить поехать выходной съездить тула мочь собака сын хотеть сказать собака лежать ивл купить доллар сто двадцать давать сдать ваш собака отель собака гуглить такой условие отдельный комната они гулять расчесывать развлекать думать сука собака тула отправить сам отель заселиться сдавать отель забирать день ходить сам свой забрать такой условие отель дом возвращаюсь день афиг ходить заходить ванная подожди позавчера кидать полотенце пол почему убрать
работать реально;арсен приехать;проблема вырасти армянин это семья богатый щедрый друг приехать сидеть подруга десять человек просто оплатить счет уехать ругать нахрен это делать дешевый понт прикол это работать пока возмущаться мой подруга такой сын приехать поэтому сильно возмутить ситуация который недавно произойти сидеть кафе соседний стол сидеть какой мой земляк услышать следующий диалог говорить наш кариночка счет оплатить второй говорить видел сколько заказать че сука оплатить хотя часть хотя поросенок знать
выбесила;такой ситуация;такой ситуация ехать эскалатор ехать девушка рюкзак тип открыть секунда думать закрыть тип помочь думать хуй доказать тот сторона сделать идти хуй разводить хуй
прости;иван жена реально герой;иван жена реально герой столько год давать челка это вообще подкаст сегодня слышать подкаст который называться подкаст абрам плакать час иван абрамов абрамов главный парадиз страна казаться галкин стать агент один конкретный наводка
любовь собака такой друг стендап стендап стендап тнт шутка романкосицын comedy;tht смотрите против собака;смотрите против собака против собакозависимый человек сзади человек который собака купить куртка сын такой друг который невозможный никуда вырвать говорить поехать выходной съездить тулонь мочь собака сын хотеть сказать собака лежать ивл купить доллар сто двадцать давать сдать ваш собака отель собака гуглить такой условие отдельный комната они гулять расчесывать развлекать думать собака тула отправить сам отель заселиться сдавать отель забирать день ходить сам свой забрать такой условие отель домой возвращаться день афиг ходить заходить ванная такой подождать позавчера кидать полотенце пол почему убрать
v вообще цена сырный тарелка фруктовую вообще кредит брать викамакедонская женский стендап;ан;заметить детство редко родитель ходить кафе мама говорить дорого дома петь поэтому парень кафе стесняюсь заказывать столько сколько реально хотеть казаться сказать сырный тарелка ка ага колбасный ложка дом петь пойти конец сюда сам заплатить обижаться говорить смысл сам
количество половой партнер женщина смотрите полный версия шоу бабский история стендап стендап тнт стендап шоу стендап камедь стендап комик стендап комедия стендап москва стендап натнт стендап видео женский стендап женский стендап натнт ск стендап клубномер разгон чувс бабский история;встречаться чувак;сначала чувак такой чулок нужный сразу видеть красный флаг начинаться это вопрос сколько партнер это такой вопрос загулять целое честно говорить отношение один жизнь извинить короче это вообще такой дискомфортный вопрос ненавидеть вопрос сколько парень вообще блядь шарж нужный отвечать несколько ситуация жалко парень это насколько должный низкий самооценка хотеть первый типа это знать клевый повар тот есть блин причем женщина почему секс это единственный круто опыт знать это это заходить больница хирург хотеть первый хотеть первый
девиз новый время;точно знать хотеть;хотеть мороженое хотеть бутерброд хотеть голый рязановый сниматься
однажды россия сегодня тнт;весь правда патрик;мочь сайт префектура отзыв хороший оставить типа горка классный устраивать молодец коровкина зарплата поднять префект машина газа отзыв оставить жить сюда приезжать каждый утро надежда снять беспринципный жилец сдавать свой квартира жить дешевый жить невозможный уайлдберриса коктейльчик стоить понимать себя привозить
войти понять отношение серьезный иринамягков войти мягковаирин женский стендап мягков стендап сильный независимый сильнаяженщина;короткий долго;короткий долго мочь понять это чувак весь перерасти нормальный серьезный отношение понять знаете первый трезвый секс давать честно трезвый секс это новый этап отношение смотреть припить заняться секс это веселие это развлечение выйти вторник попить чай вафля заняться секс пара
полиция стиль подруга смешноевидео стиль прикол;просить ло друг г помочь выбор одожды;опа нихуй что че анализ ваш пожалуйста полк положите компот быть выдавать емкость который анализ
опубликовать shorts видео;крик;такой человек пиздатая дача друг
;tha mangiata;ваня смотреть последний концерт специально материться воспринимать интеллигентного комик казаться пара год курить начать сцена стоять говорить бля бля бля бля бля загоняться повод недостаточно известный знать этот отличница который подготовиться подготовиться рядом кассит сидеть идти хуй
понимать серегу;попросить задержаться работа минута;уйти отсюда хуй уходить отсюда быть уметь это говорить
v семья выбирать фильм викамакедонский женский стендап;th вообще считрить;вообще считать женщина кино мочь жизнь посмотреть который хотеть детство смотреть родитель смотреть смотреть парень выбирать быть смотреть ребенок захотеть понять бабка телевизор оторвать пока дед живой видеть вообще весь смотреть сидеть говорить фильм барби чушпанов
шутка который удалить семейный чат женский стендап женский стендап натнт стендап каринасалихов смешноевидео родственник;скандал родня;решить это идеальный возраст начинать ругаться родственник навсегда нравиться такой реакция честной человек зал остальной сидеть такой лицо тип родственник ругаться они хороший отношение вопрос решать суд
konofff фанат день матч финал кубок стэнли;ч pan т haif е lub;добро пожаловать флорида крис ноблок быть смотреть ваш комана power play это видеть спокойно спокойно тщательно пак заставлять видеть ваш команда любить наш начало думать играть разбить пак получить хороший выгода должный продолжать это спасибо
мальчик классный сам дело ролик демонстрировать абсолютно непрофессиональный работа заокеанский коллега барышня держать микрофон правый рука хотя гость слева это плохо парнишка увидеть журналистка никто ухо подсказать такой ситуация изумительный эфир отыгрывать биатлон губерниев ихний тв говно полный хоккей отличный бобровский гениальный п советский спорт фанат футболка яркий переживать флорида стать звезда интернет бобровский точно порадовать паренек спасениями россиянин установить несколько рекорд финал нхл подписываться sovsport;phn haif lub;добро пожаловать флорида крис ноблоко время посмотреть ваш команда power play наиболее хороший выглядеть просто спокойно композитивный тщательно пак давать сила видеть ваш команда сегодня вечер любить наш начать думать играть очень выиграть пак получить очень хороший вид вокруг нерф должный сохранить это спасибо
